antiguedad_meses,precio_cop
39,2122257.0
52,2037910.0
29,2580634.0
15,3295335.0
43,2008100.0
8,3537709.0
21,2807710.0
39,2158845.0
58,1074076.0
19,2909477.0
23,2692195.0
11,3317281.0
11,3652199.0
24,2439910.0
53,1517939.0
36,1938093.0
40,1929210.0
24,2883343.0
3,3674642.0
22,2648338.0
53,1307704.0
2,3811940.0
24,2610445.0
44,1852469.0
30,2456836.0
38,1992260.0
2,4031592.0
60,1195088.0
21,2551229.0
33,2342968.0
12,3160732.0
58,1317865.0
22,2691122.0
44,1802790.0
25,2750748.0
49,1724863.0
27,2404956.0
59,1094825.0
42,1838758.0
28,2442001.0
60,1364818.0
16,3140747.0
15,2935867.0
47,1822679.0
51,1823323.0
44,1974870.0
55,1097095.0
52,1387365.0
57,1425037.0
3,3558850.0
37,2201573.0
51,1621195.0
7,3345960.0
21,2846071.0
9,2908810.0
39,1891342.0
18,2952115.0
4,3432833.0
25,2919862.0
60,885479.0
14,3103993.0
50,1569611.0
58,1406191.0
9,3179621.0
26,2804475.0
53,1416535.0
2,3562774.0
20,2969316.0
28,2569859.0
47,1594967.0
60,1110470.0
7,3427203.0
44,1837028.0
8,3539320.0
47,1922903.0
35,2039328.0
14,3489955.0
17,2742187.0
36,2157232.0
50,1638248.0
40,2042149.0
4,3526595.0
2,3678782.0
6,3456050.0
54,1281595.0
42,2037440.0
4,3673552.0
54,1266064.0
29,2629940.0
18,3036095.0
26,2751929.0
44,1914444.0
34,2145651.0
10,3265973.0
36,2292094.0
14,3261556.0
31,2401865.0
48,1657599.0
15,3316650.0
8,3351264.0
14,3252065.0
23,2734671.0
60,1067348.0
57,1399817.0
40,2123812.0
21,2977026.0
16,3275822.0
45,1778151.0
18,3092293.0
47,1638460.0
53,1463625.0
24,2700479.0
26,2644549.0
25,2764274.0
60,977267.0
60,1413858.0
60,949097.0
45,1592872.0
41,2128717.0
29,2613749.0
15,3218618.0
45,1869252.0
1,3753163.0
25,2540412.0
7,3496371.0
9,3293426.0
24,2866268.0
1,3732941.0
44,1696175.0
8,3391792.0
24,2781940.0
11,3220441.0
51,1381667.0
17,3071553.0
8,3476745.0
35,2148959.0
35,2154344.0
33,2349807.0
59,927787.0
5,3363880.0
42,1802233.0
39,2012983.0
58,1236636.0
41,2176303.0
28,2668649.0
7,3461009.0
9,3392148.0
8,3289621.0
12,3257223.0
34,2226701.0
33,2363408.0
48,1515915.0
55,1402902.0
23,2994911.0
24,2703686.0
37,2195257.0
35,2328522.0
44,1759817.0
40,2033614.0
22,2811889.0
27,2599651.0
35,2109049.0
1,3758677.0
35,2299700.0
37,2352672.0
47,1828891.0
14,3492977.0
3,3549898.0
1,3885848.0
5,3602501.0
26,2958470.0
55,1203755.0
14,3044042.0
39,1955091.0
27,2266416.0
9,3316137.0
15,3011130.0
15,3147559.0
26,2681263.0
42,2191426.0
60,1242564.0
13,3128464.0
51,1370238.0
32,2433788.0
39,1846965.0
