Experiencia_Anios,Puntaje_Tecnico,Participacion_Proyectos,Promovido
10.8,41.9,5,0
2.7,96.2,4,0
8.9,43.1,5,0
9.3,72.5,8,1
6.6,82.5,10,1
11.2,92.3,4,1
14.0,82.8,4,1
13.9,88.1,3,1
7.0,60.4,7,0
2.1,88.9,3,0
14.8,44.8,3,0
12.7,93.7,10,1
2.3,72.9,5,0
13.9,89.0,5,1
13.1,67.1,6,1
8.0,78.6,8,1
9.1,71.6,10,1
6.3,83.9,6,1
1.3,44.9,1,0
5.4,43.6,8,0
12.1,54.8,8,1
0.6,49.6,9,0
5.3,92.3,9,1
6.3,53.2,2,0
8.3,98.6,2,1
13.8,60.2,3,0
5.5,50.9,1,0
5.5,87.4,4,0
11.2,79.5,4,1
7.1,69.9,9,1
3.8,73.3,9,0
7.1,83.2,9,1
2.5,53.7,10,0
3.1,99.8,7,1
7.7,98.5,2,0
6.6,79.0,10,1
13.8,52.0,5,0
5.8,80.8,4,0
8.9,44.3,8,0
9.7,41.8,2,0
0.7,55.5,6,0
10.1,67.8,5,1
3.1,92.1,2,0
14.4,83.6,10,1
2.7,84.6,1,0
6.5,65.5,8,1
1.7,60.8,2,0
15.0,62.3,7,1
7.8,99.3,9,1
9.1,42.4,9,0
1.5,92.0,8,1
11.4,74.7,10,1
3.5,66.3,9,1
13.5,83.5,2,1
3.5,69.2,6,0
3.3,92.4,4,0
1.0,94.0,4,0
7.3,65.3,5,0
8.7,56.6,3,0
1.5,75.5,1,0
11.7,94.7,8,1
7.1,52.6,5,0
8.1,77.4,3,0
6.9,77.9,10,1
6.3,84.0,7,1
8.6,47.9,7,0
2.8,82.9,1,0
3.1,94.5,9,0
13.0,50.8,2,1
14.2,54.3,5,0
5.9,98.3,5,0
4.4,50.9,8,0
9.8,91.3,8,1
6.4,69.5,7,0
0.9,54.8,7,0
2.8,92.2,6,0
10.9,66.7,6,0
10.1,70.9,9,1
0.9,61.6,6,0
3.7,75.6,2,0
3.9,49.8,2,0
10.2,63.5,5,0
0.8,98.2,4,0
2.0,55.5,2,0
12.1,79.4,3,1
3.1,59.5,7,0
10.0,86.4,8,1
4.0,47.9,6,0
1.9,98.2,5,0
4.0,67.2,1,0
11.0,54.2,8,1
12.9,44.4,3,0
12.5,50.2,6,0
6.3,71.2,3,0
10.2,60.2,7,1
3.5,89.7,7,0
4.8,65.9,9,1
13.5,54.9,5,0
0.7,77.0,8,0
1.7,82.4,10,1
3.5,50.0,10,0
0.9,50.1,8,0
3.1,42.2,1,0
9.0,84.2,5,1
6.6,79.8,3,0
13.4,68.5,1,0
12.4,90.7,4,1
5.5,88.3,8,1
4.3,75.1,3,0
6.0,92.1,10,1
9.1,52.4,2,0
4.4,46.7,9,0
9.6,56.2,10,1
6.4,43.4,5,0
8.5,71.9,7,1
6.8,96.2,2,1
4.8,42.4,9,0
14.3,47.3,9,1
11.6,67.1,4,1
2.5,96.0,4,0
13.1,59.0,6,1
7.6,70.4,10,1
13.5,42.5,10,1
12.1,48.9,10,1
6.7,99.2,6,0
0.8,97.9,1,0
4.4,40.3,9,0
8.4,97.1,2,0
9.7,78.3,5,0
4.2,92.1,9,0
2.5,67.3,4,0
12.6,70.9,3,0
14.8,69.3,7,1
8.1,80.0,6,1
3.0,48.4,8,0
4.4,41.8,3,0
0.8,58.5,5,0
13.8,82.3,10,1
2.2,52.1,4,0
8.9,80.4,4,0
4.5,98.2,4,1
8.5,45.6,10,0
9.9,80.4,8,1
12.5,66.6,6,1
3.5,92.1,3,0
0.7,50.6,10,1
2.5,81.6,5,0
13.6,90.3,6,1
13.2,96.7,5,1
9.2,81.0,6,1
9.2,69.8,8,0
10.1,77.1,7,1
3.0,92.1,5,0
13.8,74.2,10,1
6.6,41.8,6,0
6.1,95.9,4,1
8.0,81.4,9,1
1.2,80.6,4,0
2.9,52.9,1,0
11.2,79.5,7,1
1.7,63.6,7,0
9.2,79.1,4,0
4.1,46.4,3,0
6.1,79.5,8,0
4.7,100.0,5,0
5.7,42.9,10,0
10.9,98.6,7,1
4.8,64.4,4,0
8.7,92.2,4,0
7.4,86.9,8,0
10.1,74.0,8,1
14.1,84.3,2,1
11.1,92.7,2,0
3.6,64.2,3,0
1.0,59.6,3,0
4.3,80.1,1,0
9.1,88.5,3,1
1.2,85.7,6,0
7.7,87.9,8,1
9.2,66.1,10,1
5.3,89.1,6,0
11.7,47.2,5,0
2.0,72.7,4,0
1.6,40.3,3,0
11.1,59.5,4,0
7.7,62.0,7,0
10.5,63.8,1,0
6.8,81.7,7,1
4.1,63.3,1,0
12.4,66.9,2,1
12.1,54.3,4,0
10.6,62.4,1,0
4.4,53.6,9,0
9.1,44.4,6,0
5.7,76.2,1,0
1.8,80.1,1,0
13.8,77.2,6,1
2.5,67.8,4,0
14.3,62.8,4,0
7.0,91.8,6,1
3.2,71.1,7,0
8.4,68.8,9,1
13.2,41.5,10,1
11.1,60.5,5,1
12.2,62.8,9,1
10.1,63.9,4,1
10.5,74.8,10,1
12.8,72.0,2,0
4.1,76.5,3,0
7.6,85.9,1,0
3.7,88.8,6,0
14.8,83.1,6,1
14.2,97.3,1,1
1.1,41.1,3,0
10.7,51.7,5,0
13.9,40.5,3,0
3.1,78.8,10,0
8.7,93.9,3,1
13.8,54.6,10,1
1.0,95.6,3,0
10.6,43.6,5,0
4.8,96.1,5,1
13.9,61.1,4,1
14.6,46.1,1,0
14.2,69.2,5,1
7.4,55.4,10,0
13.0,57.1,5,0
12.7,58.4,4,1
5.1,88.2,6,1
12.5,72.3,10,1
1.0,58.7,4,0
9.1,76.6,7,1
3.8,83.0,7,0
2.2,56.4,2,0
1.6,64.8,3,0
10.6,47.3,1,0
5.4,50.9,8,0
11.0,80.9,9,1
1.4,50.9,4,0
5.1,71.5,6,0
8.3,82.5,9,1
12.0,46.4,6,1
5.1,74.0,9,1
9.6,55.4,4,0
13.3,97.8,8,1
9.4,69.0,9,1
3.9,88.4,4,0
0.9,73.0,5,0
