Tiempo_Navegacion_Minutos,Compra_Realizada
23.1,0
57.1,1
44.2,1
36.3,0
10.2,0
10.2,0
4.4,0
52.1,1
36.5,0
42.8,1
2.2,0
58.2,1
50.1,0
13.5,0
11.7,0
11.8,0
19.0,0
32.0,1
26.5,1
18.2,0
37.1,0
9.2,0
18.2,0
22.6,0
27.9,0
47.3,1
12.8,0
31.3,0
36.0,1
3.7,0
36.8,1
11.1,0
4.8,0
57.0,1
58.0,1
48.7,1
19.0,0
6.8,0
41.4,1
27.0,0
8.2,0
30.2,0
3.0,0
54.6,1
16.3,0
40.1,0
19.4,1
31.7,0
33.3,1
11.9,0
58.2,1
46.7,1
56.4,1
53.8,1
36.3,1
55.4,1
6.2,0
12.6,0
3.7,0
20.2,0
23.9,0
17.0,0
49.9,1
22.0,0
17.6,1
33.0,1
9.3,0
48.3,1
5.4,0
59.2,1
46.6,1
12.7,1
1.3,0
49.1,1
42.7,1
44.0,0
46.5,1
5.4,0
22.1,1
7.8,0
51.9,1
37.8,1
20.5,0
4.7,0
19.3,0
20.2,1
44.0,1
38.6,1
53.3,0
28.9,1
8.1,0
43.1,1
45.9,1
34.1,1
46.5,1
30.1,1
31.8,0
26.2,0
2.5,1
7.4,1
2.9,0
38.5,1
19.5,0
31.0,0
54.5,1
15.7,0
25.2,1
45.6,1
14.5,1
5.5,0
18.1,0
10.5,0
55.9,1
48.7,1
38.4,1
52.4,1
48.4,1
12.0,0
53.7,0
32.8,1
48.6,1
53.9,1
19.8,1
7.5,0
14.4,0
26.2,0
49.3,1
51.8,1
1.4,0
31.1,0
25.6,1
14.1,1
8.1,1
20.9,0
56.6,1
20.1,1
31.6,0
42.5,1
22.5,0
58.3,1
57.8,1
15.9,0
30.3,1
18.8,0
17.8,0
3.2,0
37.0,1
30.7,0
4.0,0
17.4,0
54.6,1
15.1,1
9.5,0
29.9,0
59.2,1
15.3,0
40.7,1
45.9,1
15.0,0
44.0,1
22.7,1
38.3,1
38.4,1
32.6,1
6.3,0
50.3,1
19.9,0
12.0,0
3.4,0
35.9,1
41.0,1
2.0,0
31.2,1
14.4,0
39.1,0
11.3,1
41.8,1
23.8,1
56.3,1
9.1,0
21.1,0
7.7,1
55.6,1
52.8,1
16.2,0
39.9,1
49.2,1
33.8,1
32.2,1
15.3,0
6.5,0
53.9,1
54.1,1
38.4,1
21.0,1
21.6,0
43.8,1
53.9,1
53.3,1
47.0,1
38.9,1
6.0,0
10.5,0
54.0,1
36.8,1
1.5,0
7.0,0
40.1,1
1.3,0
10.5,0
33.4,1
41.8,1
39.5,1
14.2,0
43.0,0
15.0,1
20.2,0
45.0,1
39.3,0
51.1,1
39.8,1
34.5,1
6.5,0
22.7,0
16.6,0
15.4,0
58.4,1
24.2,1
53.6,1
38.2,1
47.9,1
30.7,0
35.0,1
30.1,0
12.5,0
43.6,1
17.6,0
2.4,0
39.1,1
11.4,0
56.5,1
57.3,1
55.0,1
22.8,0
1.9,0
55.8,1
26.3,1
58.0,1
57.9,1
51.3,1
18.4,0
23.7,0
51.2,1
19.7,0
11.0,0
33.9,1
56.2,1
42.1,1
34.6,1
6.7,0
37.3,1
59.4,0
9.3,0
31.6,1
52.8,1
44.7,1
42.1,1
42.4,1
22.2,0
18.3,0
48.8,1
48.8,1
52.2,1
54.9,1
31.2,1
30.6,0
48.1,1
39.3,1
42.4,0
48.0,1
53.5,1
20.9,0
23.2,0
6.5,0
35.1,0
3.1,0
28.5,1
33.0,1
17.9,0
35.9,1
2.8,0
3.2,0
49.5,1
22.3,0
8.5,0
31.8,0
46.4,1
13.7,0
37.8,1
6.0,0
4.0,0
32.3,1
32.9,1
38.6,1
43.8,1
58.6,0
31.5,1
20.1,1
47.9,1
17.0,0
26.9,1
5.6,0
2.5,0
57.8,1
50.3,1
42.1,0
25.1,1
11.2,1
10.2,0
15.8,0
33.4,0
43.2,1
40.0,1
17.5,0
57.3,1
44.5,1
33.7,1
37.1,0
25.8,0
15.6,0
22.0,0
45.7,1
1.8,0
7.8,0
3.7,0
3.4,0
51.5,1
42.5,1
29.0,0
6.8,0
30.0,1
28.9,0
11.2,0
26.6,0
24.5,0
37.3,0
38.5,1
3.7,0
23.1,1
37.9,1
30.7,1
51.5,0
39.9,1
10.6,0
5.2,0
38.9,0
2.6,0
35.6,1
56.5,1
35.0,0
23.9,0
39.0,1
28.0,0
33.2,0
56.5,1
23.8,0
57.7,1
54.4,1
12.6,0
5.1,0
6.9,0
2.1,0
6.6,0
41.3,1
5.2,0
19.8,0
50.8,1
2.4,0
49.1,1
17.6,0
8.0,0
42.1,1
38.1,1
52.8,1
44.4,1
48.4,1
17.6,0
11.5,0
45.3,1
48.6,0
59.4,1
25.3,0
22.9,0
46.8,1
21.1,0
55.9,1
51.6,1
26.3,0
45.3,1
45.5,0
